,Canal,Nome vídeo,Data
243,Guih Borba,Watched Reportagem sobre a clonagem da ovelha Dolly,2021-06-15 19:07:05.628
244,GRUPO QSTS,Watched EU A PATROA E AS CRIANÇAS / ep 367 temporada 05  ela ouviu ele ouviu,2021-06-15 04:42:12.124
245,adsense,Watched https://www.youtube.com/watch?v=GMha23xM3dw,2021-06-15 04:41:57.046
246,GRUPO QSTS,Watched EU A PATROA E AS CRIANÇAS CRIANÇAS 27/03,2021-06-15 04:20:09.393
247,GRUPO QSTS,Watched Eu A PATROA E AS CRIANÇAS (bêbados ),2021-06-15 03:58:22.940
248,adsense,Watched https://www.youtube.com/watch?v=YJrLta4dvX4,2021-06-15 03:37:37.381
249,Pretty Printed,"Watched Inserting, Updating, and Deleting from a Database in Flask-SQLAlchemy",2021-06-15 02:36:46.099
250,adsense,Watched https://www.youtube.com/watch?v=YJrLta4dvX4,2021-06-15 01:16:09.938
251,OliviaRodrigoVEVO,Watched Olivia Rodrigo - good 4 u (Official Video),2021-06-15 00:57:44.271
252,OliviaRodrigoVEVO,Watched Olivia Rodrigo - deja vu (Official Video),2021-06-15 00:54:21.613
253,Nessa Barrett,Watched Nessa Barrett - la di die (feat. jxdn) [Official Music Video],2021-06-15 00:50:54.926
254,adsense,Watched Privacidade no iPhone | Rastreamento | Apple,2021-06-15 00:50:34.581
255,Matheus Fernandes,Watched Matheus Fernandes e Dilsinho - Baby Me Atende (Clipe Oficial),2021-06-14 22:37:33.384
256,Instante Biotec,"Watched Orgânico, convencional ou OGM? | #InstanteBiotec 14",2021-06-14 20:02:09.819
257,Rap Box,Watched Orgânico - Pelé Milflows | SóCiro | Olívia | San Joe - Baila Mais [ Prod. Leo Casa 1 ],2021-06-14 18:35:51.535
258,PineappleStormTV,"Watched Poesia Acústica #6 - Era Uma Vez - Mc Cabelinho, Orochi, Bob, Maquiny, Azzy, Filipe Ret, Dudu, Xamã",2021-06-14 16:26:48.878
259,PineappleStormTV,Watched Poesia Acústica #9 - Melhor Forma - L7NNON | CHRIS | Xamã | Lourena | Cesar Mc | Djonga | Filipe Ret,2021-06-14 16:16:33.754
260,OrienteRJ,Watched Oriente Acústico - Praia do Rosa Part. Cynthia Luz e Delacruz,2021-06-14 16:12:14.125
261,The Noite com Danilo Gentili,Watched Entrevista com Detetive Eduarda Lima | The Noite (11/06/21),2021-06-14 15:29:48.085
262,Waguinhov,Watched PEDIDO DE CASAMENTO! WAGUINHO E LAURINHA,2021-06-14 15:22:57.118
263,Pretty Printed,Watched How to Create Joins in SQLAlchemy,2021-06-14 01:38:32.014
264,codigofacilito,Watched Mini Curso SQLAlchemy con Python 4 Consultas unicas,2021-06-14 01:11:26.573
265,Pretty Printed,Watched Creating One-To-Many Relationships in Flask-SQLAlchemy,2021-06-13 23:35:08.417
